sch_year,fips,state,st,grade,enrollment,data_source
2019-2020,4,ARIZONA,AZ,kindergarten,81532,CCD federal data
2019-2020,4,ARIZONA,AZ,ungraded,279,CCD federal data
2019-2020,4,ARIZONA,AZ,unspecified,0,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_1,36606,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_10,36785,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_11,35338,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_12,33822,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_2,36312,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_3,36165,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_4,36754,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_5,37954,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_6,38834,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_7,39223,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_8,36613,CCD federal data
2019-2020,5,ARKANSAS,AR,grade_9,37980,CCD federal data
2019-2020,5,ARKANSAS,AR,k_12_total,479432,CCD federal data
2019-2020,5,ARKANSAS,AR,kindergarten,36761,CCD federal data
2019-2020,5,ARKANSAS,AR,ungraded,285,CCD federal data
2019-2020,5,ARKANSAS,AR,unspecified,0,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_1,444120,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_10,496819,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_11,479381,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_12,486592,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_2,447239,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_3,455273,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_4,456361,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_5,448701,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_6,465730,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_7,471541,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_8,487838,CCD federal data
2019-2020,6,CALIFORNIA,CA,grade_9,500397,CCD federal data
2019-2020,6,CALIFORNIA,CA,k_12_total,6163001,CCD federal data
2019-2020,6,CALIFORNIA,CA,kindergarten,523009,CCD federal data
2019-2020,6,CALIFORNIA,CA,unspecified,0,CCD federal data
2019-2020,8,COLORADO,CO,kindergarten,64009,CO state data
2019-2020,8,COLORADO,CO,grade_1,63697,CO state data
2019-2020,8,COLORADO,CO,grade_2,64192,CO state data
2019-2020,8,COLORADO,CO,grade_3,65166,CO state data
2019-2020,8,COLORADO,CO,grade_4,66172,CO state data
2019-2020,8,COLORADO,CO,grade_5,68592,CO state data
2019-2020,8,COLORADO,CO,grade_6,70228,CO state data
2019-2020,8,COLORADO,CO,grade_7,70167,CO state data
2019-2020,8,COLORADO,CO,grade_8,69584,CO state data
2019-2020,8,COLORADO,CO,grade_9,70560,CO state data
2019-2020,8,COLORADO,CO,grade_10,68822,CO state data
2019-2020,8,COLORADO,CO,grade_11,67143,CO state data
2019-2020,8,COLORADO,CO,grade_12,70205,CO state data
2019-2020,8,COLORADO,CO,detention_centers,261,CO state data
2019-2020,8,COLORADO,CO,k_12_total,878798,CO state data
2019-2020,9,CONNECTICUT,CT,grade_1,35988,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_10,40859,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_11,39906,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_12,39992,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_2,36377,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_3,36809,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_4,37275,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_5,38442,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_6,39293,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_7,40468,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_8,40123,CCD federal data
2019-2020,9,CONNECTICUT,CT,grade_9,43134,CCD federal data
2019-2020,9,CONNECTICUT,CT,k_12_total,505210,CCD federal data
2019-2020,9,CONNECTICUT,CT,kindergarten,36544,CCD federal data
2019-2020,9,CONNECTICUT,CT,unspecified,0,CCD federal data
2019-2020,10,DELAWARE,DE,grade_1,10109,CCD federal data
2019-2020,10,DELAWARE,DE,grade_10,10834,CCD federal data
2019-2020,10,DELAWARE,DE,grade_11,9890,CCD federal data
2019-2020,10,DELAWARE,DE,grade_12,9431,CCD federal data
2019-2020,10,DELAWARE,DE,grade_2,10404,CCD federal data
2019-2020,10,DELAWARE,DE,grade_3,10441,CCD federal data
2019-2020,10,DELAWARE,DE,grade_4,10559,CCD federal data
2019-2020,10,DELAWARE,DE,grade_5,10976,CCD federal data
2019-2020,10,DELAWARE,DE,grade_6,11118,CCD federal data
2019-2020,10,DELAWARE,DE,grade_7,10934,CCD federal data
2019-2020,10,DELAWARE,DE,grade_8,10895,CCD federal data
2019-2020,10,DELAWARE,DE,grade_9,12227,CCD federal data
2019-2020,10,DELAWARE,DE,k_12_total,137716,CCD federal data
2019-2020,10,DELAWARE,DE,kindergarten,9898,CCD federal data
2019-2020,10,DELAWARE,DE,unspecified,0,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_1,7242,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_10,4526,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_11,3985,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_12,3969,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_2,7104,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_3,6685,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_4,6466,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_5,6250,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_6,5869,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_7,5657,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_8,5041,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,grade_9,6458,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,k_12_total,76990,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,kindergarten,7488,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,ungraded,250,CCD federal data
2019-2020,11,DISTRICT OF COLUMBIA,DC,unspecified,0,CCD federal data
2019-2020,12,FLORIDA,FL,grade_1,207636,CCD federal data
2019-2020,12,FLORIDA,FL,grade_10,218909,CCD federal data
2019-2020,12,FLORIDA,FL,grade_11,208315,CCD federal data
2019-2020,12,FLORIDA,FL,grade_12,202808,CCD federal data
2019-2020,12,FLORIDA,FL,grade_2,208781,CCD federal data
2019-2020,12,FLORIDA,FL,grade_3,221801,CCD federal data
2019-2020,12,FLORIDA,FL,grade_4,209751,CCD federal data
2019-2020,12,FLORIDA,FL,grade_5,217882,CCD federal data
2019-2020,12,FLORIDA,FL,grade_6,225573,CCD federal data
2019-2020,12,FLORIDA,FL,grade_7,220994,CCD federal data
2019-2020,12,FLORIDA,FL,grade_8,223318,CCD federal data
2019-2020,12,FLORIDA,FL,grade_9,224227,CCD federal data
2019-2020,12,FLORIDA,FL,k_12_total,2792884,CCD federal data
2019-2020,12,FLORIDA,FL,kindergarten,202889,CCD federal data
2019-2020,12,FLORIDA,FL,unspecified,0,CCD federal data
2019-2020,13,GEORGIA,GA,grade_1,127231,CCD federal data
2019-2020,13,GEORGIA,GA,grade_10,135331,CCD federal data
2019-2020,13,GEORGIA,GA,grade_11,121690,CCD federal data
2019-2020,13,GEORGIA,GA,grade_12,116975,CCD federal data
2019-2020,13,GEORGIA,GA,grade_2,128203,CCD federal data
2019-2020,13,GEORGIA,GA,grade_3,129091,CCD federal data
2019-2020,13,GEORGIA,GA,grade_4,131286,CCD federal data
2019-2020,13,GEORGIA,GA,grade_5,136822,CCD federal data
2019-2020,13,GEORGIA,GA,grade_6,139176,CCD federal data
2019-2020,13,GEORGIA,GA,grade_7,140489,CCD federal data
2019-2020,13,GEORGIA,GA,grade_8,137063,CCD federal data
2019-2020,13,GEORGIA,GA,grade_9,149902,CCD federal data
2019-2020,13,GEORGIA,GA,k_12_total,1719609,CCD federal data
2019-2020,13,GEORGIA,GA,kindergarten,126350,CCD federal data
2019-2020,13,GEORGIA,GA,unspecified,0,CCD federal data
2019-2020,15,HAWAII,HI,grade_1,14717,CCD federal data
2019-2020,15,HAWAII,HI,grade_10,13370,CCD federal data
2019-2020,15,HAWAII,HI,grade_11,12175,CCD federal data
2019-2020,15,HAWAII,HI,grade_12,11114,CCD federal data
2019-2020,15,HAWAII,HI,grade_2,14545,CCD federal data
2019-2020,15,HAWAII,HI,grade_3,14673,CCD federal data
2019-2020,15,HAWAII,HI,grade_4,14895,CCD federal data
2019-2020,15,HAWAII,HI,grade_5,11816,CCD federal data
2019-2020,15,HAWAII,HI,grade_6,14786,CCD federal data
2019-2020,15,HAWAII,HI,grade_7,14242,CCD federal data
2019-2020,15,HAWAII,HI,grade_8,13611,CCD federal data
2019-2020,15,HAWAII,HI,grade_9,14923,CCD federal data
2019-2020,15,HAWAII,HI,k_12_total,179331,CCD federal data
2019-2020,15,HAWAII,HI,kindergarten,14004,CCD federal data
2019-2020,15,HAWAII,HI,ungraded,460,CCD federal data
2019-2020,15,HAWAII,HI,unspecified,0,CCD federal data
2019-2020,16,IDAHO,ID,grade_1,22698,CCD federal data
2019-2020,16,IDAHO,ID,grade_10,23968,CCD federal data
2019-2020,16,IDAHO,ID,grade_11,22983,CCD federal data
2019-2020,16,IDAHO,ID,grade_12,22078,CCD federal data
2019-2020,16,IDAHO,ID,grade_2,22700,CCD federal data
2019-2020,16,IDAHO,ID,grade_3,23201,CCD federal data
2019-2020,16,IDAHO,ID,grade_4,23543,CCD federal data
2019-2020,16,IDAHO,ID,grade_5,24113,CCD federal data
2019-2020,16,IDAHO,ID,grade_6,25183,CCD federal data
2019-2020,16,IDAHO,ID,grade_7,25323,CCD federal data
2019-2020,16,IDAHO,ID,grade_8,24683,CCD federal data
2019-2020,16,IDAHO,ID,grade_9,24956,CCD federal data
2019-2020,16,IDAHO,ID,k_12_total,307412,CCD federal data
2019-2020,16,IDAHO,ID,kindergarten,21983,CCD federal data
2019-2020,16,IDAHO,ID,unspecified,0,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_1,132640,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_10,153846,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_11,146340,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_12,146046,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_2,134002,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_3,137508,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_4,139084,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_5,143606,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_6,148272,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_7,150455,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_8,147680,CCD federal data
2019-2020,17,ILLINOIS,IL,grade_9,155786,CCD federal data
2019-2020,17,ILLINOIS,IL,k_12_total,1865886,CCD federal data
2019-2020,17,ILLINOIS,IL,kindergarten,130621,CCD federal data
2019-2020,17,ILLINOIS,IL,ungraded,,CCD federal data
2019-2020,17,ILLINOIS,IL,unspecified,0,CCD federal data
2019-2020,18,INDIANA,IN,grade_1,75776,CCD federal data
2019-2020,18,INDIANA,IN,grade_10,81357,CCD federal data
2019-2020,18,INDIANA,IN,grade_11,81854,CCD federal data
2019-2020,18,INDIANA,IN,grade_12,76313,CCD federal data
2019-2020,18,INDIANA,IN,grade_2,76538,CCD federal data
2019-2020,18,INDIANA,IN,grade_3,76146,CCD federal data
2019-2020,18,INDIANA,IN,grade_4,77528,CCD federal data
2019-2020,18,INDIANA,IN,grade_5,79223,CCD federal data
2019-2020,18,INDIANA,IN,grade_6,81494,CCD federal data
2019-2020,18,INDIANA,IN,grade_7,81632,CCD federal data
2019-2020,18,INDIANA,IN,grade_8,80799,CCD federal data
2019-2020,18,INDIANA,IN,grade_9,81258,CCD federal data
2019-2020,18,INDIANA,IN,k_12_total,1030417,CCD federal data
2019-2020,18,INDIANA,IN,kindergarten,78663,CCD federal data
2019-2020,18,INDIANA,IN,ungraded,1836,CCD federal data
2019-2020,18,INDIANA,IN,unspecified,0,CCD federal data
2019-2020,19,IOWA,IA,grade_1,35894,CCD federal data
2019-2020,19,IOWA,IA,grade_10,37615,CCD federal data
2019-2020,19,IOWA,IA,grade_11,37146,CCD federal data
2019-2020,19,IOWA,IA,grade_12,37013,CCD federal data
2019-2020,19,IOWA,IA,grade_2,35274,CCD federal data
2019-2020,19,IOWA,IA,grade_3,35253,CCD federal data
2019-2020,19,IOWA,IA,grade_4,36360,CCD federal data
2019-2020,19,IOWA,IA,grade_5,37185,CCD federal data
2019-2020,19,IOWA,IA,grade_6,38547,CCD federal data
2019-2020,19,IOWA,IA,grade_7,38823,CCD federal data
2019-2020,19,IOWA,IA,grade_8,38189,CCD federal data
2019-2020,19,IOWA,IA,grade_9,38725,CCD federal data
2019-2020,19,IOWA,IA,k_12_total,485856,CCD federal data
2019-2020,19,IOWA,IA,kindergarten,39832,CCD federal data
2019-2020,19,IOWA,IA,unspecified,0,CCD federal data
2019-2020,20,KANSAS,KS,grade_1,35079,CCD federal data
2019-2020,20,KANSAS,KS,grade_10,36669,CCD federal data
2019-2020,20,KANSAS,KS,grade_11,35403,CCD federal data
2019-2020,20,KANSAS,KS,grade_12,34255,CCD federal data
2019-2020,20,KANSAS,KS,grade_2,35457,CCD federal data
2019-2020,20,KANSAS,KS,grade_3,35542,CCD federal data
2019-2020,20,KANSAS,KS,grade_4,36467,CCD federal data
2019-2020,20,KANSAS,KS,grade_5,37011,CCD federal data
2019-2020,20,KANSAS,KS,grade_6,37746,CCD federal data
2019-2020,20,KANSAS,KS,grade_7,37799,CCD federal data
2019-2020,20,KANSAS,KS,grade_8,36917,CCD federal data
2019-2020,20,KANSAS,KS,grade_9,37328,CCD federal data
2019-2020,20,KANSAS,KS,k_12_total,474404,CCD federal data
2019-2020,20,KANSAS,KS,kindergarten,35499,CCD federal data
2019-2020,20,KANSAS,KS,ungraded,3232,CCD federal data
2019-2020,20,KANSAS,KS,unspecified,0,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_1,51855,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_10,51493,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_11,48765,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_12,46264,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_2,45922,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_3,49513,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_4,49847,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_5,52153,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_6,52905,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_7,53270,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_8,51791,CCD federal data
2019-2020,21,KENTUCKY,KY,grade_9,54705,CCD federal data
2019-2020,21,KENTUCKY,KY,k_12_total,659919,CCD federal data
2019-2020,21,KENTUCKY,KY,kindergarten,50786,CCD federal data
2019-2020,21,KENTUCKY,KY,ungraded,650,CCD federal data
2019-2020,21,KENTUCKY,KY,unspecified,0,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_1,54502,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_10,51491,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_11,46823,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_12,44925,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_2,52427,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_3,52052,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_4,52514,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_5,54193,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_6,55158,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_7,55367,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_8,52742,CCD federal data
2019-2020,22,LOUISIANA,LA,grade_9,57288,CCD federal data
2019-2020,22,LOUISIANA,LA,k_12_total,683454,CCD federal data
2019-2020,22,LOUISIANA,LA,kindergarten,53972,CCD federal data
2019-2020,22,LOUISIANA,LA,unspecified,0,CCD federal data
2019-2020,23,MAINE,ME,grade_1,12676,CCD federal data
2019-2020,23,MAINE,ME,grade_10,14047,CCD federal data
2019-2020,23,MAINE,ME,grade_11,13716,CCD federal data
2019-2020,23,MAINE,ME,grade_12,13678,CCD federal data
2019-2020,23,MAINE,ME,grade_2,12458,CCD federal data
2019-2020,23,MAINE,ME,grade_3,12744,CCD federal data
2019-2020,23,MAINE,ME,grade_4,12847,CCD federal data
2019-2020,23,MAINE,ME,grade_5,13480,CCD federal data
2019-2020,23,MAINE,ME,grade_6,13575,CCD federal data
2019-2020,23,MAINE,ME,grade_7,13890,CCD federal data
2019-2020,23,MAINE,ME,grade_8,13762,CCD federal data
2019-2020,23,MAINE,ME,grade_9,14192,CCD federal data
2019-2020,23,MAINE,ME,k_12_total,174136,CCD federal data
2019-2020,23,MAINE,ME,kindergarten,13071,CCD federal data
2019-2020,23,MAINE,ME,unspecified,0,CCD federal data
2019-2020,24,MARYLAND,MD,grade_1,65978,CCD federal data
2019-2020,24,MARYLAND,MD,grade_10,67425,CCD federal data
2019-2020,24,MARYLAND,MD,grade_11,61783,CCD federal data
2019-2020,24,MARYLAND,MD,grade_12,61154,CCD federal data
2019-2020,24,MARYLAND,MD,grade_2,66560,CCD federal data
2019-2020,24,MARYLAND,MD,grade_3,67747,CCD federal data
2019-2020,24,MARYLAND,MD,grade_4,67971,CCD federal data
2019-2020,24,MARYLAND,MD,grade_5,69552,CCD federal data
2019-2020,24,MARYLAND,MD,grade_6,70503,CCD federal data
2019-2020,24,MARYLAND,MD,grade_7,69786,CCD federal data
2019-2020,24,MARYLAND,MD,grade_8,67705,CCD federal data
2019-2020,24,MARYLAND,MD,grade_9,75950,CCD federal data
2019-2020,24,MARYLAND,MD,k_12_total,877201,CCD federal data
2019-2020,24,MARYLAND,MD,kindergarten,65087,CCD federal data
2019-2020,24,MARYLAND,MD,unspecified,0,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_1,67746,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_10,74698,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_11,72691,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_12,70947,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_2,67921,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_3,68940,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_4,69361,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_5,71201,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_6,73421,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_7,73875,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_8,72775,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,grade_9,76817,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,k_12_total,928657,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,kindergarten,65388,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,ungraded,2876,CCD federal data
2019-2020,25,MASSACHUSETTS,MA,unspecified,0,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_1,105086,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_10,119750,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_11,112209,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_12,113477,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_2,103887,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_3,104815,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_4,103774,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_5,105603,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_6,108670,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_7,112982,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_8,112842,CCD federal data
2019-2020,26,MICHIGAN,MI,grade_9,120936,CCD federal data
2019-2020,26,MICHIGAN,MI,k_12_total,1448311,CCD federal data
2019-2020,26,MICHIGAN,MI,kindergarten,120133,CCD federal data
2019-2020,26,MICHIGAN,MI,ungraded,4147,CCD federal data
2019-2020,26,MICHIGAN,MI,unspecified,0,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_1,64089,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_10,68634,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_11,66976,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_12,71302,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_2,64153,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_3,63971,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_4,65010,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_5,66117,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_6,67853,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_7,68607,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_8,67443,CCD federal data
2019-2020,27,MINNESOTA,MN,grade_9,68421,CCD federal data
2019-2020,27,MINNESOTA,MN,k_12_total,867999,CCD federal data
2019-2020,27,MINNESOTA,MN,kindergarten,65423,CCD federal data
2019-2020,27,MINNESOTA,MN,unspecified,0,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_1,35109,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_10,33851,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_11,30737,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_12,28895,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_2,34540,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_3,35629,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_4,33046,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_5,36909,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_6,38278,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_7,38305,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_8,35313,CCD federal data
2019-2020,28,MISSISSIPPI,MS,grade_9,35625,CCD federal data
2019-2020,28,MISSISSIPPI,MS,k_12_total,458841,CCD federal data
2019-2020,28,MISSISSIPPI,MS,kindergarten,34968,CCD federal data
2019-2020,28,MISSISSIPPI,MS,ungraded,7636,CCD federal data
2019-2020,28,MISSISSIPPI,MS,unspecified,0,CCD federal data
2019-2020,29,MISSOURI,MO,grade_1,65525,CCD federal data
2019-2020,29,MISSOURI,MO,grade_10,67462,CCD federal data
2019-2020,29,MISSOURI,MO,grade_11,65150,CCD federal data
2019-2020,29,MISSOURI,MO,grade_12,63323,CCD federal data
2019-2020,29,MISSOURI,MO,grade_2,65622,CCD federal data
2019-2020,29,MISSOURI,MO,grade_3,66168,CCD federal data
2019-2020,29,MISSOURI,MO,grade_4,67249,CCD federal data
2019-2020,29,MISSOURI,MO,grade_5,68967,CCD federal data
2019-2020,29,MISSOURI,MO,grade_6,70637,CCD federal data
2019-2020,29,MISSOURI,MO,grade_7,70961,CCD federal data
2019-2020,29,MISSOURI,MO,grade_8,68962,CCD federal data
2019-2020,29,MISSOURI,MO,grade_9,70281,CCD federal data
2019-2020,29,MISSOURI,MO,k_12_total,876357,CCD federal data
2019-2020,29,MISSOURI,MO,kindergarten,66050,CCD federal data
2019-2020,29,MISSOURI,MO,unspecified,0,CCD federal data
2019-2020,30,MONTANA,MT,grade_1,11393,CCD federal data
2019-2020,30,MONTANA,MT,grade_10,11145,CCD federal data
2019-2020,30,MONTANA,MT,grade_11,10300,CCD federal data
2019-2020,30,MONTANA,MT,grade_12,9676,CCD federal data
2019-2020,30,MONTANA,MT,grade_2,11349,CCD federal data
2019-2020,30,MONTANA,MT,grade_3,11467,CCD federal data
2019-2020,30,MONTANA,MT,grade_4,11342,CCD federal data
2019-2020,30,MONTANA,MT,grade_5,11778,CCD federal data
2019-2020,30,MONTANA,MT,grade_6,12125,CCD federal data
2019-2020,30,MONTANA,MT,grade_7,11791,CCD federal data
2019-2020,30,MONTANA,MT,grade_8,11741,CCD federal data
2019-2020,30,MONTANA,MT,grade_9,11504,CCD federal data
2019-2020,30,MONTANA,MT,k_12_total,148009,CCD federal data
