sch_year,fips,state,grade,enrollment
2019-2020,25,MA,grade_4,3409
2019-2020,25,MA,grade_5,3618
2019-2020,25,MA,grade_6,4290
2019-2020,25,MA,grade_7,4653
2019-2020,25,MA,grade_8,5037
2019-2020,25,MA,grade_9,6523
2019-2020,25,MA,k_12_total,61610
2019-2020,25,MA,kindergarten,3338
2019-2020,26,MI,grade_1,7209
2019-2020,26,MI,grade_10,6882
2019-2020,26,MI,grade_11,6856
2019-2020,26,MI,grade_12,6874
2019-2020,26,MI,grade_2,7206
2019-2020,26,MI,grade_3,7084
2019-2020,26,MI,grade_4,7180
2019-2020,26,MI,grade_5,7298
2019-2020,26,MI,grade_6,7279
2019-2020,26,MI,grade_7,6903
2019-2020,26,MI,grade_8,6997
2019-2020,26,MI,grade_9,6775
2019-2020,26,MI,k_12_total,92426
2019-2020,26,MI,kindergarten,7883
2019-2020,27,MN,grade_1,5455
2019-2020,27,MN,grade_10,4424
2019-2020,27,MN,grade_11,4297
2019-2020,27,MN,grade_12,4335
2019-2020,27,MN,grade_2,5307
2019-2020,27,MN,grade_3,5275
2019-2020,27,MN,grade_4,5223
2019-2020,27,MN,grade_5,5429
2019-2020,27,MN,grade_6,5446
2019-2020,27,MN,grade_7,5128
2019-2020,27,MN,grade_8,5236
2019-2020,27,MN,grade_9,4302
2019-2020,27,MN,k_12_total,65657
2019-2020,27,MN,kindergarten,5800
2019-2020,30,MT,k_12_total,7845
2019-2020,30,MT,kindergarten,NA
2019-2020,30,MT,ungraded_elementary_middle,5876
2019-2020,30,MT,ungraded_high_school,1969
2019-2020,31,NE,grade_1,2907
2019-2020,31,NE,grade_10,2322
2019-2020,31,NE,grade_11,2247
2019-2020,31,NE,grade_12,2218
2019-2020,31,NE,grade_2,2745
2019-2020,31,NE,grade_3,2763
2019-2020,31,NE,grade_4,2716
2019-2020,31,NE,grade_5,2672
2019-2020,31,NE,grade_6,2727
2019-2020,31,NE,grade_7,2506
2019-2020,31,NE,grade_8,2498
2019-2020,31,NE,grade_9,2346
2019-2020,31,NE,k_12_total,33725
2019-2020,31,NE,kindergarten,3058
2019-2020,32,NV,grade_1,1728
2019-2020,32,NV,grade_10,1193
2019-2020,32,NV,grade_11,1191
2019-2020,32,NV,grade_12,1106
2019-2020,32,NV,grade_2,1519
2019-2020,32,NV,grade_3,1539
2019-2020,32,NV,grade_4,1476
2019-2020,32,NV,grade_5,1440
2019-2020,32,NV,grade_6,1447
2019-2020,32,NV,grade_7,1526
2019-2020,32,NV,grade_8,1384
2019-2020,32,NV,grade_9,1389
2019-2020,32,NV,k_12_total,19325
2019-2020,32,NV,kindergarten,1962
2019-2020,33,NH,elementary_special_education,143
2019-2020,33,NH,grade_1,643
2019-2020,33,NH,grade_10,1875
2019-2020,33,NH,grade_11,1941
2019-2020,33,NH,grade_12,1975
2019-2020,33,NH,grade_2,658
2019-2020,33,NH,grade_3,727
2019-2020,33,NH,grade_4,710
2019-2020,33,NH,grade_5,739
2019-2020,33,NH,grade_6,824
2019-2020,33,NH,grade_7,804
2019-2020,33,NH,grade_8,863
2019-2020,33,NH,grade_9,1612
2019-2020,33,NH,k_12_total,14426
2019-2020,33,NH,kindergarten,728
2019-2020,33,NH,secondary_special_education,97
2019-2020,33,NH,ungraded_elementary,5
2019-2020,33,NH,ungraded_secondary,82
2019-2020,34,NJ,grade_1,11110
2019-2020,34,NJ,grade_10,12247
2019-2020,34,NJ,grade_11,12041
2019-2020,34,NJ,grade_12,11746
2019-2020,34,NJ,grade_2,10698
2019-2020,34,NJ,grade_3,10858
2019-2020,34,NJ,grade_4,10467
2019-2020,34,NJ,grade_5,10802
2019-2020,34,NJ,grade_6,10924
2019-2020,34,NJ,grade_7,10991
2019-2020,34,NJ,grade_8,11029
2019-2020,34,NJ,grade_9,12314
2019-2020,34,NJ,k_12_total,148678
2019-2020,34,NJ,kindergarten,13451
2019-2020,36,NY,grade_1,28542
2019-2020,36,NY,grade_10,31271
2019-2020,36,NY,grade_11,30463
2019-2020,36,NY,grade_12,28537
2019-2020,36,NY,grade_2,28148
2019-2020,36,NY,grade_3,28010
2019-2020,36,NY,grade_4,28000
2019-2020,36,NY,grade_5,28101
2019-2020,36,NY,grade_6,29246
2019-2020,36,NY,grade_7,29116
2019-2020,36,NY,grade_8,28327
2019-2020,36,NY,grade_9,31389
2019-2020,36,NY,k_12_total,390779
2019-2020,36,NY,kindergarten_full_day,31938
2019-2020,36,NY,kindergarten_half_day,1131
2019-2020,36,NY,ungraded_elementary,3857
2019-2020,36,NY,ungraded_secondary,4703
2019-2020,37,NC,grade_1,7980
2019-2020,37,NC,grade_10,7352
2019-2020,37,NC,grade_11,7022
2019-2020,37,NC,grade_12,6699
2019-2020,37,NC,grade_2,7841
2019-2020,37,NC,grade_3,7971
2019-2020,37,NC,grade_4,8027
2019-2020,37,NC,grade_5,8324
2019-2020,37,NC,grade_6,8822
2019-2020,37,NC,grade_7,8816
2019-2020,37,NC,grade_8,8591
2019-2020,37,NC,grade_9,7721
2019-2020,37,NC,k_12_total,103959
2019-2020,37,NC,kindergarten,8793
2019-2020,38,ND,grade_1 ,870
2019-2020,38,ND,grade_10 ,441
2019-2020,38,ND,grade_11 ,418
2019-2020,38,ND,grade_12 ,401
2019-2020,38,ND,grade_2 ,802
2019-2020,38,ND,grade_3 ,711
2019-2020,38,ND,grade_4 ,772
2019-2020,38,ND,grade_5 ,702
2019-2020,38,ND,grade_6 ,667
2019-2020,38,ND,grade_7 ,614
2019-2020,38,ND,grade_8 ,594
2019-2020,38,ND,grade_9 ,446
2019-2020,38,ND,k_12_total,8353
2019-2020,38,ND,kindergarten,915
2019-2020,39,OH,grade_1,13091
2019-2020,39,OH,grade_10,12337
2019-2020,39,OH,grade_11,11968
2019-2020,39,OH,grade_12,11629
2019-2020,39,OH,grade_2,13081
2019-2020,39,OH,grade_3,13023
2019-2020,39,OH,grade_4,12809
2019-2020,39,OH,grade_5,13259
2019-2020,39,OH,grade_6,13146
2019-2020,39,OH,grade_7,12415
2019-2020,39,OH,grade_8,12235
2019-2020,39,OH,grade_9,12459
2019-2020,39,OH,k_12_total,166189
2019-2020,39,OH,kindergarten,14737
2019-2020,42,PA,grade_1,16061
2019-2020,42,PA,grade_10,14057
2019-2020,42,PA,grade_11,13921
2019-2020,42,PA,grade_12,13916
2019-2020,42,PA,grade_2,15490
2019-2020,42,PA,grade_3,15402
2019-2020,42,PA,grade_4,15628
2019-2020,42,PA,grade_5,15572
2019-2020,42,PA,grade_6,15705
2019-2020,42,PA,grade_7_elementary,14627
2019-2020,42,PA,grade_7_secondary,758
2019-2020,42,PA,grade_8_elementary,14557
2019-2020,42,PA,grade_8_secondary,792
2019-2020,42,PA,grade_9,13770
2019-2020,42,PA,k_12_total,199227
2019-2020,42,PA,kindergarten_4,18
2019-2020,42,PA,kindergarten_5,17782
2019-2020,42,PA,ungraded_elementary,845
2019-2020,42,PA,ungraded_secondary,326
2019-2020,44,RI,grade_1,658
2019-2020,44,RI,grade_10,1004
2019-2020,44,RI,grade_11,1063
2019-2020,44,RI,grade_12,1109
2019-2020,44,RI,grade_2,677
2019-2020,44,RI,grade_3,671
2019-2020,44,RI,grade_4,720
2019-2020,44,RI,grade_5,741
2019-2020,44,RI,grade_6,868
2019-2020,44,RI,grade_7,995
2019-2020,44,RI,grade_8,999
2019-2020,44,RI,grade_9,922
2019-2020,44,RI,k_12_total,11167
2019-2020,44,RI,kindergarten,740
2019-2020,45,SC,grade_1,2791
2019-2020,45,SC,grade_10,2785
2019-2020,45,SC,grade_11,2316
2019-2020,45,SC,grade_12,2374
2019-2020,45,SC,grade_2,2676
2019-2020,45,SC,grade_3,2699
2019-2020,45,SC,grade_4,2658
2019-2020,45,SC,grade_5,2832
2019-2020,45,SC,grade_6,3024
2019-2020,45,SC,grade_7,3042
2019-2020,45,SC,grade_8,2998
2019-2020,45,SC,grade_9,2926
2019-2020,45,SC,k_12_total,36703
2019-2020,45,SC,kindergarten,3366
2019-2020,45,SC,ungraded_total,216
2019-2020,46,SD,grade_1,1262
2019-2020,46,SD,grade_10,1216
2019-2020,46,SD,grade_11,1073
2019-2020,46,SD,grade_12,1124
2019-2020,46,SD,grade_2,1237
2019-2020,46,SD,grade_3,1207
2019-2020,46,SD,grade_4,1167
2019-2020,46,SD,grade_5,1152
2019-2020,46,SD,grade_6,1153
2019-2020,46,SD,grade_7,1157
2019-2020,46,SD,grade_8,1144
2019-2020,46,SD,grade_9,1342
2019-2020,46,SD,k_12_total,15468
2019-2020,46,SD,kindergarten,1234
2019-2020,47,TN,k_12_total,79590
2019-2020,48,TX,k_12_total,235590
2019-2020,53,WA,grade_1,5457
2019-2020,53,WA,grade_10,4413
2019-2020,53,WA,grade_11,4053
2019-2020,53,WA,grade_12,4191
2019-2020,53,WA,grade_2,5165
2019-2020,53,WA,grade_3,5157
2019-2020,53,WA,grade_4,5086
2019-2020,53,WA,grade_5,5050
2019-2020,53,WA,grade_6,5596
2019-2020,53,WA,grade_7,5432
2019-2020,53,WA,grade_8,5146
2019-2020,53,WA,grade_9,4493
2019-2020,53,WA,k_12_total,73608
2019-2020,53,WA,kindergarten,6031
2019-2020,54,WV,k_12_total,11248
2019-2020,55,WI,grade_1,9258
2019-2020,55,WI,grade_10,6200
2019-2020,55,WI,grade_11,5885
2019-2020,55,WI,grade_12,5352
2019-2020,55,WI,grade_2,9314
2019-2020,55,WI,grade_3,9069
2019-2020,55,WI,grade_4,9133
2019-2020,55,WI,grade_5,9251
2019-2020,55,WI,grade_6,9349
2019-2020,55,WI,grade_7,8922
2019-2020,55,WI,grade_8,8667
2019-2020,55,WI,grade_9,6321
2019-2020,55,WI,k_12_total,114752
2019-2020,55,WI,kindergarten,9259
2019-2020,55,WI,kindergarten_4,8197
2019-2020,55,WI,ungraded_elementary,505
2019-2020,55,WI,ungraded_secondary,70
2020-2021,5,AR,pk_12_total,20202
2020-2021,6,CA,grade_1,35448
2020-2021,6,CA,grade_10,38127
2020-2021,6,CA,grade_11,36876
2020-2021,6,CA,grade_12,38099
2020-2021,6,CA,grade_2,33924
2020-2021,6,CA,grade_3,33670
2020-2021,6,CA,grade_4,33569
2020-2021,6,CA,grade_5,34063
2020-2021,6,CA,grade_6,35719
2020-2021,6,CA,grade_7,37079
2020-2021,6,CA,grade_8,37877
2020-2021,6,CA,grade_9,37810
2020-2021,6,CA,k_12_total,471653
2020-2021,6,CA,kindergarten,39392
2020-2021,6,CA,ungraded_elementary,0
2020-2021,6,CA,ungraded_secondary,0
2020-2021,8,CO,grade_1,2355
2020-2021,8,CO,grade_10,2756
2020-2021,8,CO,grade_11,2587
2020-2021,8,CO,grade_12,2605
2020-2021,8,CO,grade_2,2290
2020-2021,8,CO,grade_3,2257
2020-2021,8,CO,grade_4,2315
2020-2021,8,CO,grade_5,2403
2020-2021,8,CO,grade_6,2498
2020-2021,8,CO,grade_7,2522
2020-2021,8,CO,grade_8,2429
2020-2021,8,CO,grade_9,2776
2020-2021,8,CO,k_12_total,33080
2020-2021,8,CO,kindergarten,3287
2020-2021,9,CT,grade_1,2208
2020-2021,9,CT,grade_10,5560
2020-2021,9,CT,grade_11,5838
2020-2021,9,CT,grade_12,6325
2020-2021,9,CT,grade_2,2247
2020-2021,9,CT,grade_3,2318
2020-2021,9,CT,grade_4,2482
2020-2021,9,CT,grade_5,2700
2020-2021,9,CT,grade_6,2958
2020-2021,9,CT,grade_7,3405
2020-2021,9,CT,grade_8,3509
2020-2021,9,CT,grade_9,5112
2020-2021,9,CT,k_12_total,47016
2020-2021,9,CT,kindergarten_extended,38
2020-2021,9,CT,kindergarten_full_day,2287
2020-2021,9,CT,kindergarten_half_day,29
2020-2021,10,DE,grade_1,956
2020-2021,10,DE,grade_10,1527
2020-2021,10,DE,grade_11,1592
2020-2021,10,DE,grade_12,1619
2020-2021,10,DE,grade_2,926
2020-2021,10,DE,grade_3,874
2020-2021,10,DE,grade_4,912
2020-2021,10,DE,grade_5,957
2020-2021,10,DE,grade_6,1093
2020-2021,10,DE,grade_7,1072
2020-2021,10,DE,grade_8,1219
2020-2021,10,DE,grade_9,1537
2020-2021,10,DE,k_12_total,15829
2020-2021,10,DE,kindergarten,1325
2020-2021,10,DE,ungraded_elementary,144
2020-2021,10,DE,ungraded_secondary,76
2020-2021,11,DC,k_12_total,17027
2020-2021,12,FL,grade_1,27536
2020-2021,12,FL,grade_10,24215
2020-2021,12,FL,grade_11,22331
2020-2021,12,FL,grade_12,22359
2020-2021,12,FL,grade_2,25657
2020-2021,12,FL,grade_3,25619
2020-2021,12,FL,grade_4,25464
2020-2021,12,FL,grade_5,24888
2020-2021,12,FL,grade_6,25408
2020-2021,12,FL,grade_7,26971
2020-2021,12,FL,grade_8,26484
2020-2021,12,FL,grade_9,25079
2020-2021,12,FL,k_12_total,331572
2020-2021,12,FL,kindergarten,29561
2020-2021,13,GA,grade_1,6460
2020-2021,13,GA,grade_10,7984
2020-2021,13,GA,grade_11,7964
2020-2021,13,GA,grade_12,7785
2020-2021,13,GA,grade_2,6525
2020-2021,13,GA,grade_3,6604
2020-2021,13,GA,grade_4,6629
2020-2021,13,GA,grade_5,7048
2020-2021,13,GA,grade_6,7999
2020-2021,13,GA,grade_7,8489
2020-2021,13,GA,grade_8,8662
2020-2021,13,GA,grade_9,8184
2020-2021,13,GA,k_12_total,97240
2020-2021,13,GA,kindergarten,6907
2020-2021,15,HI,grade_1,1816
2020-2021,15,HI,grade_10,2819
2020-2021,15,HI,grade_11,2923
2020-2021,15,HI,grade_12,2845
2020-2021,15,HI,grade_2,1757
2020-2021,15,HI,grade_3,1719
2020-2021,15,HI,grade_4,1786
2020-2021,15,HI,grade_5,1825
2020-2021,15,HI,grade_6,2173
2020-2021,15,HI,grade_7,2665
2020-2021,15,HI,grade_8,2732
2020-2021,15,HI,grade_9,2860
2020-2021,15,HI,k_12_total,30016
2020-2021,15,HI,kindergarten,2096
2020-2021,17,IL,grade_1,12740
2020-2021,17,IL,grade_10,11226
2020-2021,17,IL,grade_11,11137
2020-2021,17,IL,grade_12,11210
2020-2021,17,IL,grade_2,12174
2020-2021,17,IL,grade_3,11885
2020-2021,17,IL,grade_4,11778
2020-2021,17,IL,grade_5,11873
2020-2021,17,IL,grade_6,12382
2020-2021,17,IL,grade_7,12160
2020-2021,17,IL,grade_8,12765
2020-2021,17,IL,grade_9,11221
2020-2021,17,IL,k_12_estimate,158156
2020-2021,17,IL,kindergarten,13606
2020-2021,17,IL,pk_12_total,176944
2020-2021,17,IL,pre_k,17876
2020-2021,17,IL,ungraded_elementary,247
2020-2021,17,IL,ungraded_pre_k,912
2020-2021,17,IL,ungraded_secondary,39
2020-2021,18,IN,grade_1,6147
2020-2021,18,IN,grade_10,4717
2020-2021,18,IN,grade_11,4690
2020-2021,18,IN,grade_12,4548
2020-2021,18,IN,grade_2,6078
2020-2021,18,IN,grade_3,6144
2020-2021,18,IN,grade_4,6097
2020-2021,18,IN,grade_5,6260
2020-2021,18,IN,grade_6,6068
2020-2021,18,IN,grade_7,5943
2020-2021,18,IN,grade_8,5802
2020-2021,18,IN,grade_9,4766
2020-2021,18,IN,k_12_total,73329
2020-2021,18,IN,kindergarten,6069
2020-2021,19,IA,grade_1,2779
2020-2021,19,IA,grade_10,1776
2020-2021,19,IA,grade_11,1765
2020-2021,19,IA,grade_12,1716
2020-2021,19,IA,grade_2,2764
2020-2021,19,IA,grade_3,2824
2020-2021,19,IA,grade_4,2620
2020-2021,19,IA,grade_5,2660
2020-2021,19,IA,grade_6,2563
2020-2021,19,IA,grade_7,2251
2020-2021,19,IA,grade_8,2322
2020-2021,19,IA,grade_9,1660
2020-2021,19,IA,k_12_total,30729
2020-2021,19,IA,kindergarten,3029
2020-2021,20,KS,3_and_4y_special_education,14
2020-2021,20,KS,grade_1,2293
2020-2021,20,KS,grade_10,1569
2020-2021,20,KS,grade_11,1515
2020-2021,20,KS,grade_12,1638
2020-2021,20,KS,grade_2,2266
2020-2021,20,KS,grade_3,2246
2020-2021,20,KS,grade_4,2168
2020-2021,20,KS,grade_5,2212
2020-2021,20,KS,grade_6,2119
2020-2021,20,KS,grade_7,1947
2020-2021,20,KS,grade_8,1975
2020-2021,20,KS,grade_9,1500
2020-2021,20,KS,k_12_total,25786
2020-2021,20,KS,kindergarten,2301
2020-2021,20,KS,ungraded_total,23
2020-2021,22,LA,k_12_total,104925
2020-2021,24,MD,grade_1,6537
2020-2021,24,MD,grade_10,8824
2020-2021,24,MD,grade_11,8677
2020-2021,24,MD,grade_12,8380
2020-2021,24,MD,grade_2,6296
2020-2021,24,MD,grade_3,6363
2020-2021,24,MD,grade_4,6582
2020-2021,24,MD,grade_5,6596
2020-2021,24,MD,grade_6,7453
2020-2021,24,MD,grade_7,7962
2020-2021,24,MD,grade_8,8030
2020-2021,24,MD,grade_9,9122
2020-2021,24,MD,k_12_total,98180
2020-2021,24,MD,kindergarten,7358
2020-2021,25,MA,grade_1,4046
2020-2021,25,MA,grade_10,7488
2020-2021,25,MA,grade_11,7788
2020-2021,25,MA,grade_12,7788
2020-2021,25,MA,grade_2,3895
2020-2021,25,MA,grade_3,3932
2020-2021,25,MA,grade_4,4108
2020-2021,25,MA,grade_5,4460
2020-2021,25,MA,grade_6,5117
2020-2021,25,MA,grade_7,5708
2020-2021,25,MA,grade_8,5966
2020-2021,25,MA,grade_9,7117
2020-2021,25,MA,k_12_total,71734
2020-2021,25,MA,kindergarten,4321
2020-2021,26,MI,grade_1,7259
2020-2021,26,MI,grade_10,6347
2020-2021,26,MI,grade_11,6492
2020-2021,26,MI,grade_12,6467
2020-2021,26,MI,grade_2,7029
2020-2021,26,MI,grade_3,7024
2020-2021,26,MI,grade_4,6871
2020-2021,26,MI,grade_5,6992
2020-2021,26,MI,grade_6,6905
2020-2021,26,MI,grade_7,6872
2020-2021,26,MI,grade_8,6695
2020-2021,26,MI,grade_9,6162
2020-2021,26,MI,k_12_total,88961
2020-2021,26,MI,kindergarten,7846
2020-2021,27,MN,grade_1,5810
2020-2021,27,MN,grade_10,4245
2020-2021,27,MN,grade_11,4132
2020-2021,27,MN,grade_12,4015
2020-2021,27,MN,grade_2,5696
2020-2021,27,MN,grade_3,5461
2020-2021,27,MN,grade_4,5352
2020-2021,27,MN,grade_5,5271
2020-2021,27,MN,grade_6,5508
2020-2021,27,MN,grade_7,4990
2020-2021,27,MN,grade_8,4965
2020-2021,27,MN,grade_9,4221
2020-2021,27,MN,k_12_total,66138
2020-2021,27,MN,kindergarten,6472
2020-2021,30,MT,k_12_total,7600
2020-2021,30,MT,kindergarten,NA
2020-2021,30,MT,ungraded_elementary_middle,5897
2020-2021,30,MT,ungraded_high_school,1703
2020-2021,31,NE,grade_1,2765
2020-2021,31,NE,grade_10,2291
2020-2021,31,NE,grade_11,2260
2020-2021,31,NE,grade_12,2146
2020-2021,31,NE,grade_2,2744
2020-2021,31,NE,grade_3,2563
2020-2021,31,NE,grade_4,2558
2020-2021,31,NE,grade_5,2570
2020-2021,31,NE,grade_6,2525
2020-2021,31,NE,grade_7,2520
2020-2021,31,NE,grade_8,2428
2020-2021,31,NE,grade_9,2159
2020-2021,31,NE,k_12_total,32316
2020-2021,31,NE,kindergarten,2787
2020-2021,32,NV,grade_1,1652
2020-2021,32,NV,grade_10,1343
2020-2021,32,NV,grade_11,1184
2020-2021,32,NV,grade_12,1148
2020-2021,32,NV,grade_2,1622
2020-2021,32,NV,grade_3,1536
2020-2021,32,NV,grade_4,1502
2020-2021,32,NV,grade_5,1428
2020-2021,32,NV,grade_6,1543
2020-2021,32,NV,grade_7,1472
2020-2021,32,NV,grade_8,1457
2020-2021,32,NV,grade_9,1364
2020-2021,32,NV,k_12_total,19427
2020-2021,32,NV,kindergarten,2176
2020-2021,33,NH,grade_1,775
2020-2021,33,NH,grade_10,1873
2020-2021,33,NH,grade_11,1970
2020-2021,33,NH,grade_12,1997
2020-2021,33,NH,grade_2,750
2020-2021,33,NH,grade_3,733
2020-2021,33,NH,grade_4,768
2020-2021,33,NH,grade_5,767
2020-2021,33,NH,grade_6,878
2020-2021,33,NH,grade_7,946
2020-2021,33,NH,grade_8,938
2020-2021,33,NH,grade_9,1635
2020-2021,33,NH,k_12_total,14980
2020-2021,33,NH,kindergarten,847
2020-2021,33,NH,ungraded_elementary,27
2020-2021,33,NH,ungraded_secondary,76
2020-2021,34,NJ,grade_1,11463
2020-2021,34,NJ,grade_10,12121
2020-2021,34,NJ,grade_11,12098
2020-2021,34,NJ,grade_12,11826
2020-2021,34,NJ,grade_2,11071
2020-2021,34,NJ,grade_3,10521
2020-2021,34,NJ,grade_4,10687
2020-2021,34,NJ,grade_5,10355
2020-2021,34,NJ,grade_6,10744
2020-2021,34,NJ,grade_7,10800
2020-2021,34,NJ,grade_8,10856
2020-2021,34,NJ,grade_9,12287
2020-2021,34,NJ,k_12_total,148215
2020-2021,34,NJ,kindergarten,13252
2020-2021,34,NJ,ungraded_total,134
